     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1737.420;         101.390;         101.990;         101.888;           0.095 ( 0.093 %);   7488.030
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        2200.236;          83.460;          84.460;          84.395;           0.175 ( 0.207 %);   9040.151
