     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      834527.830;      852890.570;      837299.752;        3132.693 ( 0.374 %);     91.119
       IKJ;         234.375;           0.229;           0.000;        100;        100;      315906.550;      320027.680;      317302.992;         888.827 ( 0.280 %);    240.445
       IEX;         234.375;           0.229;           0.000;        100;        100;      316050.920;      347750.080;      322466.807;        6515.695 ( 2.021 %);    236.595
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      523265.900;      573008.600;      530627.830;       11515.097 ( 2.170 %);    143.781
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      398945.210;      538032.100;      496320.754;       40295.653 ( 8.119 %);    153.719
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      155706.560;      196670.990;      173824.362;       12244.136 ( 7.044 %);    438.914
