     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      830690.070;      841694.960;      832178.603;        2103.507 ( 0.253 %);     91.680
       IKJ;         234.375;           0.229;           0.000;        100;        100;      316304.860;      377316.810;      318836.400;       10838.074 ( 3.399 %);    239.289
       IEX;         234.375;           0.229;           0.000;        100;        100;      315440.230;      316741.370;      316262.791;         240.282 ( 0.076 %);    241.236
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      521564.190;      626555.890;      526725.378;       20821.166 ( 3.953 %);    144.846
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      255472.410;      257123.460;      255887.439;         339.899 ( 0.133 %);    298.154
