     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         957.912;          83.150;          85.760;          83.345;           0.485 ( 0.582 %);   9154.009
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         656.550;          84.350;          84.860;          84.441;           0.089 ( 0.105 %);   9035.220
