     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      617207.600;      622366.070;      618538.295;         996.795 ( 0.161 %);    123.346
       IKJ;         234.375;           0.229;           0.000;        100;        100;      401703.780;      419864.940;      402964.045;        3173.856 ( 0.788 %);    189.332
       IEX;         234.375;           0.229;           0.000;        100;        100;      598887.740;      609727.370;      601386.678;        2481.307 ( 0.413 %);    126.863
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      273242.190;      273759.660;      273438.851;         130.708 ( 0.048 %);    279.016
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      154571.550;      155762.990;      154846.343;         250.833 ( 0.162 %);    492.707
