     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1028970.650;     1292317.620;     1073249.398;       52290.829 ( 4.872 %);     71.087
       IKJ;         234.375;           0.229;           0.000;        100;        100;     1003366.530;     1084287.820;     1032894.834;       18952.403 ( 1.835 %);     73.864
       IEX;         234.375;           0.229;           0.000;        100;        100;      397272.170;      685385.590;      553589.551;       99843.798 (18.036 %);    137.817
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      273520.750;      277582.560;      275496.396;        1165.828 ( 0.423 %);    276.933
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      259278.930;      265434.680;      262350.288;        1922.762 ( 0.733 %);    290.809
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      154593.580;      169404.750;      156880.202;        3929.819 ( 2.505 %);    486.320
