     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1867.733;          82.050;         105.300;          90.889;           9.786 (10.766 %);   8394.181
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        2156.189;          81.960;          82.550;          82.075;           0.092 ( 0.112 %);   9295.586
