     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2546.629;         103.890;         104.900;         103.980;           0.173 ( 0.166 %);   7337.346
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;      194594.765;          83.250;          83.960;          83.292;           0.125 ( 0.150 %);   9159.803
