     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1127151.630;     1204769.740;     1153039.236;       24204.312 ( 2.099 %);     66.168
       IKJ;         234.375;           0.229;           0.000;        100;        100;      906317.710;      931894.280;      913417.704;        8693.693 ( 0.952 %);     83.526
       IEX;         234.375;           0.229;           0.000;        100;        100;      550494.540;      975531.810;      811815.955;      148362.194 (18.275 %);     93.979
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      362262.520;      362780.050;      362446.099;         157.440 ( 0.043 %);    210.497
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      154737.550;      211814.630;      156663.005;        9901.306 ( 6.320 %);    486.994
