     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1027324.360;     1118678.820;     1047094.035;       23239.122 ( 2.219 %);     72.863
       IKJ;         234.375;           0.229;           0.000;        100;        100;      580744.110;      637481.230;      600705.563;       16199.910 ( 2.697 %);    127.007
       IEX;         234.375;           0.229;           0.000;        100;        100;      424894.080;      654931.260;      556749.709;       62623.660 (11.248 %);    137.035
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      362159.310;      419068.660;      372153.246;       15867.950 ( 4.264 %);    205.007
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      356594.870;      361493.250;      358500.678;        1239.285 ( 0.346 %);    212.814
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      154460.220;      159934.690;      155797.498;        1383.600 ( 0.888 %);    489.699
