     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         652.375;         100.280;         120.730;         111.452;           9.147 ( 8.207 %);   6845.464
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         399.587;          84.960;          85.360;          85.038;           0.074 ( 0.087 %);   8971.696
