     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2717.209;         102.690;         104.800;         102.838;           0.354 ( 0.344 %);   7418.813
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        3499.510;          81.950;          83.050;          82.088;           0.177 ( 0.216 %);   9294.213
