     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1024298.490;     1066295.760;     1040208.322;       15260.971 ( 1.467 %);     73.345
       IKJ;         234.375;           0.229;           0.000;        100;        100;      223813.310;      232929.710;      226807.432;        3464.290 ( 1.527 %);    336.382
       IEX;         234.375;           0.229;           0.000;        100;        100;      225051.530;      229083.400;      226224.909;        1073.389 ( 0.474 %);    337.248
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      318175.710;      327365.350;      321418.277;        3684.261 ( 1.146 %);    237.367
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      612915.450;      635018.420;      615725.962;        5648.892 ( 0.917 %);    123.909
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      255246.470;      257535.760;      255575.957;         448.104 ( 0.175 %);    298.518
