     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1029744.210;     1078449.760;     1038950.307;        9183.009 ( 0.884 %);     73.434
       IKJ;         234.375;           0.229;           0.000;        100;        100;      224420.850;      235918.420;      226199.497;        2564.663 ( 1.134 %);    337.286
       IEX;         234.375;           0.229;           0.000;        100;        100;      219572.560;      256937.240;      224140.611;        8334.665 ( 3.718 %);    340.384
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      317411.470;      357831.490;      323122.617;        9169.353 ( 2.838 %);    236.115
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      592728.990;      734370.270;      624625.965;       22462.025 ( 3.596 %);    122.143
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      180335.760;      240974.900;      206022.388;       17809.155 ( 8.644 %);    370.319
