     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      836865.720;      873258.590;      846737.189;        8205.430 ( 0.969 %);     90.103
       IKJ;         234.375;           0.229;           0.000;        100;        100;      315590.360;      323433.270;      318802.525;        2259.810 ( 0.709 %);    239.314
       IEX;         234.375;           0.229;           0.000;        100;        100;      315504.590;      331763.290;      319998.539;        3837.720 ( 1.199 %);    238.420
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      517766.280;      708826.550;      531681.161;       34512.794 ( 6.491 %);    143.496
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      396454.330;      548730.660;      487504.152;       45148.956 ( 9.261 %);    156.499
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      155821.680;      253282.890;      176790.774;       21349.423 (12.076 %);    431.549
