     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      830175.350;      837789.440;      832160.930;        2222.428 ( 0.267 %);     91.682
       IKJ;         234.375;           0.229;           0.000;        100;        100;      315196.490;      318765.370;      316462.602;         596.993 ( 0.189 %);    241.084
       IEX;         234.375;           0.229;           0.000;        100;        100;      315801.310;      318084.420;      316662.728;         519.522 ( 0.164 %);    240.931
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      517447.750;      519875.430;      517916.130;         663.273 ( 0.128 %);    147.309
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      255410.250;      257559.280;      255787.122;         378.334 ( 0.148 %);    298.271
