     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         483.658;          98.890;         126.640;         103.773;           5.461 ( 5.262 %);   7352.001
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         647.594;         104.790;         105.700;         104.842;           0.159 ( 0.152 %);   7277.053
