     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1033525.500;     1101086.420;     1053038.548;       16066.377 ( 1.526 %);     72.451
       IKJ;         234.375;           0.229;           0.000;        100;        100;      661780.010;      830972.770;      701266.819;       39400.756 ( 5.619 %);    108.794
       IEX;         234.375;           0.229;           0.000;        100;        100;      608513.300;     1045196.090;      779417.259;      169084.227 (21.694 %);     97.886
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      276282.530;      321298.860;      280728.746;        7590.299 ( 2.704 %);    271.771
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      261605.290;      272903.590;      264989.052;        3156.383 ( 1.191 %);    287.914
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      154373.760;      162629.540;      155431.335;        1385.928 ( 0.892 %);    490.853
