     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1823.772;          81.950;          85.160;          82.142;           0.543 ( 0.661 %);   9288.076
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        2045.578;          81.950;          82.550;          82.072;           0.094 ( 0.115 %);   9295.929
