     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         748.100;         119.820;         120.430;         119.867;           0.113 ( 0.094 %);   6364.869
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         973.575;          84.350;         104.900;          91.627;           7.928 ( 8.653 %);   8326.582
