     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         560.633;          84.360;          95.680;          85.349;           2.043 ( 2.394 %);   8939.078
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        1160.770;          84.350;          84.660;          84.435;           0.062 ( 0.073 %);   9035.869
