     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        4702.161;          83.150;         102.700;          92.364;           7.701 ( 8.338 %);   8260.144
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        3829.255;          83.160;          84.260;          83.472;           0.250 ( 0.300 %);   9140.084
