     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2633.306;         102.690;         131.040;         111.530;          12.331 (11.056 %);   6840.684
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        5138.199;         103.990;         139.360;         108.249;          10.063 ( 9.296 %);   7048.018
